country_code,country_name,indicator_code,indicator_name,year,value
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2024,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2023,9.56912775275673
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2022,8.72436040117116
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2021,7.96907960398037
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2020,7.73754873370445
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2019,8.90213335235847
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2018,9.88732966644866
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2017,8.89566055291347
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2016,8.8585217562526
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2015,8.39790781352825
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2014,9.36516719804562
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2013,4.84439636539416
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2012,6.72327958982541
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2011,1.9042059394074
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2010,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2009,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2008,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2007,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2006,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2005,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2004,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2003,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2002,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2001,
BGD,Bangladesh,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2000,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2024,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2023,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2022,2.81875346844338
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2021,3.11444658852587
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2020,3.8727769630135
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2019,3.89949874723607
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2018,3.92063262802426
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2017,3.66101354771918
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2016,4.7488988110068
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2015,3.99835180405115
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2014,3.85059424062381
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2013,4.52530200889505
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2012,5.37615761868223
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2011,6.03201397638731
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2010,6.86702975926534
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2009,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2008,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2007,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2006,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2005,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2004,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2003,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2002,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2001,
BRN,Brunei Darussalam,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2000,
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2024,
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2023,1.95628264361572
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2022,2.14649051618116
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2021,2.64057088343298
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2020,2.64268448647727
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2019,2.33935750447439
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2018,2.20579865068329
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2017,2.44404843529866
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2016,2.77489855191291
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2015,2.31686319973563
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2014,1.97494771279186
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2013,1.60618085839081
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2012,1.67598753441661
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2011,2.00668094304848
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2010,2.31233314887669
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2009,2.89219586768057
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2008,2.87020628006279
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2007,3.69085921286511
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2006,5.15545411942603
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2005,6.25246820199786
IDN,Indonesia,FB.AST.NPER.ZS,Bank_NPL_to_total_gross_loans_pct,2004,
